cfg,phase,xi,scale,sigma,resp_rms,err
57,node,5.0,4.0,8e-06,9.361771432268163e-08,4.853806097522585e-06
57,node,10.0,1.0,2e-06,5.24959626662903e-08,6.240439522203924e-07
57,node,10.0,4.0,8e-06,2.099838506651612e-07,2.4828913729097087e-06
57,node,20.0,1.0,2e-06,3.9292526309109395e-08,3.7595091775675635e-07
57,node,20.0,4.0,8e-06,1.5717010523643758e-07,1.5142561440318948e-06
57,node,50.0,1.0,2e-06,5.710013062789603e-08,2.653817151991788e-07
57,node,50.0,4.0,8e-06,2.2840052251158413e-07,1.035493905521396e-06
57,node,,1.0,2e-06,6.893149231381672e-08,2.91482449578917e-07
57,node,,4.0,8e-06,2.7572596925526686e-07,1.1603212362983948e-06
85,node,0.0,1.0,2e-06,7.378927744486033e-08,9.072391412020402e-06
85,node,0.0,4.0,8e-06,2.951571097794413e-07,3.628151958394761e-05
85,node,1.0,1.0,2e-06,1.5424141207784833e-07,3.6494042579027146e-06
85,node,1.0,4.0,8e-06,6.169656483113933e-07,1.4607767941294906e-05
85,node,2.0,1.0,2e-06,1.426277807004359e-07,8.536544759423883e-06
85,node,2.0,4.0,8e-06,5.705111228017436e-07,3.417329763413941e-05
85,node,5.0,1.0,2e-06,1.7663119817868252e-07,5.237876993488227e-06
85,node,5.0,4.0,8e-06,7.065247927147301e-07,2.0968976502337727e-05
85,node,10.0,1.0,2e-06,3.125461294253418e-07,1.3808606256432902e-06
85,node,10.0,4.0,8e-06,1.2501845177013672e-06,5.528509999125254e-06
85,node,20.0,1.0,2e-06,5.113697137507426e-07,1.1791604216669745e-06
85,node,20.0,4.0,8e-06,2.0454788550029703e-06,4.728663401517016e-06
85,node,50.0,1.0,2e-06,6.600083811812288e-07,7.919643524129961e-07
85,node,50.0,4.0,8e-06,2.640033524724915e-06,3.2508922117086306e-06
85,node,,1.0,2e-06,5.767207282534258e-07,9.523614551738201e-07
85,node,,4.0,8e-06,2.3068829130137034e-06,3.7646200467212803e-06
112,node,0.0,1.0,2e-06,1.1300717972791145e-07,3.6369192780322505e-06
112,node,0.0,4.0,8e-06,4.520287189116458e-07,1.4552760929146376e-05
112,node,1.0,1.0,2e-06,1.4387744514427159e-07,4.637368192285232e-06
112,node,1.0,4.0,8e-06,5.755097805770863e-07,1.8541765035600117e-05
112,node,2.0,1.0,2e-06,1.5598779524051575e-07,4.514114366542805e-06
112,node,2.0,4.0,8e-06,6.23951180962063e-07,1.8052479000980755e-05
112,node,5.0,1.0,2e-06,2.87047250508785e-07,9.701121726107528e-07
112,node,5.0,4.0,8e-06,1.14818900203514e-06,3.8725617357255945e-06
112,node,10.0,1.0,2e-06,3.36136911814835e-07,1.181575480249409e-06
112,node,10.0,4.0,8e-06,1.34454764725934e-06,4.723720077249567e-06
112,node,20.0,1.0,2e-06,4.7465613394453564e-07,5.443288446232592e-07
112,node,20.0,4.0,8e-06,1.8986245357781426e-06,2.175934695865016e-06
112,node,50.0,1.0,2e-06,5.65383400323097e-07,3.7139552538534316e-07
112,node,50.0,4.0,8e-06,2.261533601292388e-06,1.4818271191058331e-06
112,node,,1.0,2e-06,5.610145586569083e-07,3.9551316281024134e-07
112,node,,4.0,8e-06,2.2440582346276334e-06,1.594397743023234e-06
139,node,0.0,1.0,2e-06,8.573507279024961e-08,7.868104078184517e-06
139,node,0.0,4.0,8e-06,3.4294029116099843e-07,3.148145257156983e-05
139,node,1.0,1.0,2e-06,1.022305948871366e-07,4.915567652888849e-06
139,node,1.0,4.0,8e-06,4.089223795485464e-07,1.966628719869571e-05
139,node,2.0,1.0,2e-06,1.348009328994106e-07,5.23180145253897e-06
139,node,2.0,4.0,8e-06,5.392037315976424e-07,2.0919178054817768e-05
139,node,5.0,1.0,2e-06,2.7762682607083615e-07,2.2771075305339918e-06
139,node,5.0,4.0,8e-06,1.1105073042833446e-06,9.108824561823541e-06
139,node,10.0,1.0,2e-06,3.4760987752752805e-07,1.2850204575256066e-06
