cfg,phase,model,L,mu,alpha,Ez,Delta,t0,E_low,E_gap,z2,subgap,near_edge,domain,width,center_left,center_right,E_pred,E_abserr,E_relerr,q_resolved,secular,K_relerr,K_corr,N0_ratio,N_err,q_root,q_energy,q_fft,q_diff_fft,q0_diff_fft,sumK,fd,fd_kink,fd_err,Kmaj_dev,p0,N0,eps2,Nex_xi0.0,Nex_xi1.0,Nex_xi2.0,Nex_xi5.0,Nex_xi10.0,Nex_xi20.0,Nex_xi50.0,Nex_xiinf,Nro_xi0.0,Nro_xi1.0,Nro_xi2.0,Nro_xi5.0,Nro_xi10.0,Nro_xi20.0,Nro_xi50.0,Nro_xiinf
6,node,rashba,55,1.092857155731727,0.19602879379465676,2.512973233998672,0.7720769236094298,1.2175578784395986,1.5827267130138131e-06,0.05419620738511875,-1,True,False,True,13.397097334150454,15.07479577734295,38.92520422265713,1.5827267848186663e-06,7.180485318749458e-14,4.536781530069993e-08,True,3.072567805375256e-13,7.775237353317828e-13,1.0,0.9999999999999437,4.560554605065174e-14,2.2438546934656234,2.2438546934654005,2.243853171186746,1.5222786542423705e-06,1.5222788771751539e-06,0.6863359846117885,0.6863339703323752,True,2.01427941326493e-06,4.2530206081991156e-16,0.6800202823094609,0.01259473352961141,,0.01259473352961141,0.020273440850142523,0.03451147650956906,0.07752694211895148,0.1388252301890067,0.2239221299236953,0.3353378940869754,0.4710570837730332,0.012594733529610701,0.02027344085014173,0.034511476509568026,0.07752694211894938,0.13882523018900267,0.2239221299236879,0.3353378940869622,0.4710570837730117
6,anti,rashba,55,1.1537642417204963,0.19602879379465676,2.512973233998672,0.7720769236094298,1.2175578784395986,0.029209533824565856,0.05339097124953183,-1,True,False,True,10.359542959708431,11.75097037022483,42.249029629775194,0.0292095343445925,5.200266432747735e-10,1.7803318820426355e-08,True,1.7677008373821843e-09,1.4139632402300894e-08,0.9999999999999999,0.9999999850892002,1.4910799772349638e-08,2.188110078651576,2.1880248845948644,2.187647248003192,0.0003776365916725588,0.0004628306483840383,2.4610598000678486e-05,2.46102338161136e-05,False,3.6418456488682333e-10,2.8434313051075606e-16,6.204692471362223e-09,0.0017748488869044749,-24.041944679292076,0.0017748488869044749,0.0009843399893109195,0.0005432128033304565,0.00022448979646271254,0.00011311512602080355,5.681724308547411e-05,2.2792552018779745e-05,6.056815339508749e-10,0.0017748488604400585,0.000984339974707736,0.0005432127953138273,0.00022448979320246275,0.00011311512439523682,5.6817242246896135e-05,2.279255164724194e-05,6.056641448845706e-10
7,node,rashba,60,0.5793236088228144,0.10338900778560983,2.140063248157354,1.1955685731176562,0.8021632613169809,4.6984212468356645e-08,0.05103368414391048,-1,True,False,True,10.676361253750706,10.266388547690118,48.73361145230991,4.698421813232965e-08,5.6639730055420025e-15,1.2055055747410106e-07,True,1.7864749174418972e-14,1.60120314748622e-13,0.9999999999999999,1.000000000000012,1.3699236051098107e-14,2.1629620601467456,2.162962060146744,2.162958404249285,3.6558974589873117e-06,3.6558974607636685e-06,0.3150830093328381,0.31508192307346194,True,1.086259376170684e-06,3.3642065453649573e-16,0.6785819196713417,0.0024383521942916986,,0.0024383521942916986,0.003940875212744776,0.006705415770031426,0.015122871330054171,0.02732882060727455,0.04482850436035157,0.06876470247762763,0.0992773027702373,0.002438352194291728,0.0039408752127448364,0.006705415770031543,0.015122871330054442,0.027328820607275033,0.044828504360352336,0.06876470247762867,0.09927730277023866
7,anti,rashba,60,0.6153817061256429,0.10338900778560983,2.140063248157354,1.1955685731176562,0.8021632613169809,0.007355681309078151,0.05029045297864521,-1,True,False,True,9.473726085000846,9.448910938213167,49.55108906178684,0.007355681318058732,8.980581035766821e-12,1.2209040411638375e-09,True,3.299957848681765e-11,7.143997233065216e-10,1.0,0.9999999992775659,7.224340742994517e-10,2.1117661804959083,2.1117534215942317,2.1113585636413337,0.00039485795289806447,0.0004076168545745773,2.4531074834065322e-05,2.4530656672627767e-05,False,4.181614375545087e-10,1.0590542342768405e-15,2.4028009834618275e-08,0.0004174112051285452,-14.505965338289501,0.0004174112051285452,0.00023876475290864063,0.0001328657731975284,5.523162677457868e-05,2.800011110996242e-05,1.4163493891709143e-05,5.714896675503894e-06,6.017736325144995e-10,0.0004174112048269931,0.00023876475273740562,0.00013286577310334642,5.5231626737211825e-05,2.8000111092163205e-05,1.4163493882839544e-05,5.7148966714226335e-06,6.017732692829241e-10
8,node,rashba,99,0.9590534031297446,0.2253716488531993,1.8415217397039,0.8432537230357686,0.8985989000168039,5.210318687985965e-09,0.09143025450533486,-1,True,False,True,7.8457278855028285,6.885062140263239,91.11493785973678,5.2103179701990115e-09,7.177869534431932e-16,1.3776258160528218e-07,True,1.9268668047950416e-15,5.066045128035338e-13,0.9999999999999998,0.9999999999997502,2.4654643295093366e-13,2.1989171899486273,2.1989171899486264,2.1989166939586915,4.959899349010755e-07,4.959899357892539e-07,-0.019849966568599532,0.01985000772034525,True,4.1151745719392174e-08,1.3446729643607533e-14,0.6773484001421592,5.875871036783956e-06,,5.875871036783956e-06,9.542212729098747e-06,1.6392631717194934e-05,3.7836100412623225e-05,7.11371881869785e-05,0.00012641222309604412,0.00022372308689784008,0.000394021172774519,5.8758710367824885e-06,9.54221272909645e-06,1.6392631717191105e-05,3.783610041261467e-05,7.113718818696274e-05,0.0001264122230960162,0.0002237230868977889,0.00039402117277442187
8,anti,rashba,99,0.9842250335522413,0.2253716488531993,1.8415217397039,0.8432537230357686,0.8985989000168039,0.00031804517134105867,0.09069846470167597,-1,True,False,True,7.835133215821234,6.884469127955323,91.11553087204469,0.00031804517767604215,6.3349834818031414e-12,1.9918502315539838e-08,True,1.994386596326999e-11,6.274356570203196e-09,1.0,0.999999995903191,4.0968090134984235e-09,2.16759849841063,2.1675984826274544,2.167517554061411,8.092856604324794e-05,8.094434921890326e-05,5.139086029085148e-07,5.138919834373618e-07,False,1.6619471153011406e-11,1.9556421253691067e-14,1.8025100607033414e-09,1.4799903504321382e-06,-1.2397617963245284,1.4799903504321382e-06,8.272082661168446e-07,4.576372270097621e-07,1.899270416224897e-07,9.653112009379392e-08,4.929786354647515e-08,2.022016473281539e-08,2.641020521434078e-13,1.4799903443689004e-06,8.272082627678038e-07,4.57637225199754e-07,1.899270409515755e-07,9.65311198278319e-08,4.929786345869059e-08,2.0220164698870918e-08,2.6409816345797047e-13
9,node,rashba,79,1.5822164102505591,0.1342478141591979,2.6966735973519707,0.9213072302212502,1.383785216434724,1.902139538533572e-06,0.04039192285561092,-1,True,False,True,19.324227957948043,22.328803661313934,55.671196338686016,1.902139494989947e-06,4.3543624948617974e-14,2.289191937106114e-08,True,2.8927988928628895e-13,6.127513968254622e-13,0.9999999999999996,0.9999999999999876,1.0871914063524242e-14,2.1205462896533716,2.120546289653058,2.120543017934447,3.2717186111419494e-06,3.2717189246689315e-06,-0.6890941863057276,0.689096433700065,True,2.2473943374068384e-06,4.03039138815542e-16,0.6756180618144493,0.008896697601208703,,0.008896697601208703,0.014434603797481856,0.024643264125088642,0.05630118007686995,0.10424160333014561,0.17937052980153112,0.2975984361762753,0.4748507976003527,0.008896697601208592,0.014434603797481786,0.02464326412508865,0.05630118007687011,0.10424160333014584,0.17937052980153118,0.2975984361762741,0.47485079760034754
9,anti,rashba,79,1.6291961811561413,0.1342478141591979,2.6966735973519707,0.9213072302212502,1.383785216434724,0.022729189605904213,0.03964335035774927,-1,True,False,True,14.87579874448107,17.36850660714522,60.631493392854686,0.022729189550091976,5.5812236776642266e-11,2.4555313121302084e-09,True,2.891827111068011e-10,1.9726421477689762e-09,0.9999999999999993,1.0000000020711919,2.071191871190142e-09,2.081468221916574,2.0814197080227785,2.0812068717362293,0.00021283628654922282,0.0002613501803447882,-3.5809056327913615e-05,-3.580952548376537e-05,False,4.691558517545824e-10,8.020364223415243e-16,1.2965478993048407e-08,0.001251901314235085,-31.816085327991686,0.001251901314235085,0.0007246438402383691,0.00040411795315806024,0.00016752016870281557,8.44234660225442e-05,4.2436598579227605e-05,1.704554497076509e-05,1.2822885150956327e-09,0.0012519013168280128,0.0007246438417349351,0.00040411795398976393,0.0001675201690428796,8.44234661904311e-05,4.243659866308148e-05,1.704554500587034e-05,1.282285646470076e-09
10,node,rashba,89,1.655668612415736,0.15091131188363754,2.472701075699975,0.7527005037087856,1.2218317166868533,7.55061145486132e-07,0.03531767642577428,-1,True,False,True,19.91503274490161,21.75522428141842,66.24477571858182,7.550612323882031e-07,8.690207113079074e-14,1.1509275990468358e-07,True,7.652520872036099e-13,1.989032885810154e-12,0.9999999999999998,0.9999999999999017,1.303231376034085e-13,1.7452968398525428,1.745296839852407,1.745297422868614,5.830162068676259e-07,5.830160709763277e-07,0.5920784728459173,0.5920761972173704,True,2.275628546932751e-06,1.0554949265826627e-15,0.6747584577968545,0.005837410009244544,,0.005837410009244544,0.009710932334656634,0.016387528513722823,0.03730126017740326,0.06953382307110134,0.12173544374309517,0.20897641424215085,0.35055691800755356,0.0058374100092439705,0.009710932334655737,0.01638752851372155,0.03730126017740061,0.06953382307109629,0.1217354437430853,0.20897641424212984,0.3505569180075079
10,anti,rashba,89,1.6879703418044816,0.15091131188363754,2.472701075699975,0.7527005037087856,1.2218317166868533,0.012939373018779695,0.03476434366814376,-1,True,False,True,16.014295116391875,18.04121091686589,69.95878908313408,0.01293937312940242,1.1062272452233568e-10,8.549311033987676e-09,True,8.609655486185533e-10,6.26243514901436e-09,1.0,0.9999999934218233,6.578176700588004e-09,1.7106218309191243,1.7105790210751577,1.7103068455385986,0.0002721755365593381,0.00031498538052598946,-1.45790210018832e-05,-1.4579821204507846e-05,False,8.002026246467221e-10,8.9070378748413e-16,2.7780723680070722e-09,0.0008596529576742781,-34.960935066462305,0.0008596529576742781,0.0006010880861468853,0.0003542833259528223,0.00015004405332566433,7.610587273928448e-05,3.850850893479094e-05,1.5575704681250654e-05,2.1254785337330144e-10,0.0008596529520193291,0.0006010880822079276,0.0003542833236456969,0.0001500440523750449,7.610587228048107e-05,3.850850871158819e-05,1.5575704583096513e-05,2.125516870720275e-10
