cfg,phase,xi,scale,sigma,resp_rms,err
29,node,,1.0,2e-06,3.619109703706894e-08,2.599350647756192e-07
29,node,,4.0,8e-06,1.4476438814827575e-07,9.925225096465799e-07
57,node,0.0,1.0,2e-06,1.7229481971890916e-09,5.886876329086426e-06
57,node,0.0,4.0,8e-06,6.891792788756366e-09,2.282651307440583e-05
57,node,1.0,1.0,2e-06,2.645418344637985e-09,4.703810763785495e-06
57,node,1.0,4.0,8e-06,1.058167337855194e-08,1.8541133207555965e-05
57,node,2.0,1.0,2e-06,3.733786785746964e-09,2.625007526088132e-06
57,node,2.0,4.0,8e-06,1.4935147142987855e-08,1.054353397931016e-05
57,node,5.0,1.0,2e-06,4.192320919268266e-09,1.6079370260889196e-06
57,node,5.0,4.0,8e-06,1.6769283677073064e-08,6.565547300330625e-06
57,node,10.0,1.0,2e-06,8.662070728283194e-09,7.905107979390952e-07
57,node,10.0,4.0,8e-06,3.4648282913132775e-08,3.2242961451929703e-06
57,node,20.0,1.0,2e-06,8.832114237063263e-09,8.920572054609681e-07
57,node,20.0,4.0,8e-06,3.532845694825305e-08,3.6172322282652482e-06
57,node,50.0,1.0,2e-06,1.2483501475464075e-08,4.838156499113281e-07
57,node,50.0,4.0,8e-06,4.99340059018563e-08,1.8442492492739987e-06
57,node,,1.0,2e-06,1.3993060619648565e-08,2.8033766127508895e-07
57,node,,4.0,8e-06,5.597224247859426e-08,1.0066205292812862e-06
86,node,0.0,1.0,2e-06,1.439694527297984e-09,4.889995777870497e-06
86,node,0.0,4.0,8e-06,5.758778109191936e-09,1.989722398989835e-05
86,node,1.0,1.0,2e-06,1.8637051388390965e-09,3.210458916207088e-06
86,node,1.0,4.0,8e-06,7.454820555356386e-09,1.3087181819529488e-05
86,node,2.0,1.0,2e-06,2.2128379316387e-09,2.799581414460205e-06
86,node,2.0,4.0,8e-06,8.8513517265548e-09,1.0935269441539231e-05
86,node,5.0,1.0,2e-06,2.9050038791298305e-09,1.3686875349595628e-06
86,node,5.0,4.0,8e-06,1.1620015516519322e-08,5.517782825909595e-06
86,node,10.0,1.0,2e-06,5.604567863037963e-09,9.233103793528119e-07
86,node,10.0,4.0,8e-06,2.241827145215185e-08,3.6553843141191117e-06
86,node,20.0,1.0,2e-06,7.139801926390966e-09,4.017072336159554e-07
86,node,20.0,4.0,8e-06,2.8559207705563864e-08,1.6695514646941661e-06
86,node,50.0,1.0,2e-06,8.253548015355427e-09,2.1334846424635644e-07
86,node,50.0,4.0,8e-06,3.301419206142171e-08,8.62017925343051e-07
86,node,,1.0,2e-06,6.636385121404746e-09,7.225546625825532e-08
86,node,,4.0,8e-06,2.6545540485618984e-08,3.3556718638990757e-07
114,node,0.0,1.0,2e-06,1.3135982859087607e-09,5.308756039781603e-06
114,node,0.0,4.0,8e-06,5.254393143635043e-09,2.126143419629245e-05
114,node,1.0,1.0,2e-06,2.2264922420006793e-09,2.659283830096252e-06
114,node,1.0,4.0,8e-06,8.905968968002717e-09,1.0679527415742333e-05
114,node,2.0,1.0,2e-06,2.688431805589695e-09,3.2690611210690303e-06
114,node,2.0,4.0,8e-06,1.075372722235878e-08,1.3037243325901419e-05
114,node,5.0,1.0,2e-06,4.1924688335132954e-09,9.094256790206536e-07
114,node,5.0,4.0,8e-06,1.6769875334053182e-08,3.6006830164781237e-06
114,node,10.0,1.0,2e-06,6.133974915509944e-09,1.0069570977395948e-06
114,node,10.0,4.0,8e-06,2.4535899662039777e-08,4.019085451290444e-06
114,node,20.0,1.0,2e-06,8.039548950079891e-09,3.9790187146095236e-07
114,node,20.0,4.0,8e-06,3.2158195800319565e-08,1.6168303923693327e-06
114,node,50.0,1.0,2e-06,6.671128410134564e-09,2.0972334921821909e-07
114,node,50.0,4.0,8e-06,2.6684513640538257e-08,8.530303885868963e-07
114,node,,1.0,2e-06,9.559841403917069e-09,1.0594548502340487e-07
114,node,,4.0,8e-06,3.8239365615668276e-08,3.896737553151079e-07
143,node,0.0,1.0,2e-06,7.178238922882014e-10,3.9918269173774664e-06
143,node,0.0,4.0,8e-06,2.8712955691528055e-09,1.5803288862493395e-05
143,node,1.0,1.0,2e-06,1.2228585501266465e-09,3.3269095378562483e-06
143,node,1.0,4.0,8e-06,4.891434200506586e-09,1.3281900277211828e-05
143,node,2.0,1.0,2e-06,1.1887705854982184e-09,2.492534878463121e-06
143,node,2.0,4.0,8e-06,4.7550823419928735e-09,1.0059525157643403e-05
143,node,5.0,1.0,2e-06,2.146657100239619e-09,1.6133045073155797e-06
143,node,5.0,4.0,8e-06,8.586628400958476e-09,6.511436808526661e-06
143,node,10.0,1.0,2e-06,3.4342980541246412e-09,8.907422529981895e-07
143,node,10.0,4.0,8e-06,1.3737192216498565e-08,3.5119206864921063e-06
143,node,20.0,1.0,2e-06,3.339343505127435e-09,5.698612456458881e-07
143,node,20.0,4.0,8e-06,1.335737402050974e-08,2.310051178587349e-06
143,node,50.0,1.0,2e-06,4.356113679346564e-09,2.6696719408498483e-07
143,node,50.0,4.0,8e-06,1.7424454717386257e-08,1.0710613212093554e-06
143,node,,1.0,2e-06,5.6185957342098516e-09,4.731748520591061e-08
143,node,,4.0,8e-06,2.2474382936839406e-08,1.3132376885523413e-07
171,node,0.0,1.0,2e-06,2.91845642796217e-11,1.9611800293676315e-05
171,node,0.0,4.0,8e-06,1.167382571184868e-10,2.7051748264873523e-05
171,node,1.0,1.0,2e-06,3.2815647103154997e-11,1.6596618799579938e-05
171,node,1.0,4.0,8e-06,1.3126258841261999e-10,1.8468022217869197e-05
171,node,2.0,1.0,2e-06,3.254475588905535e-11,1.3780195196311754e-05
171,node,2.0,4.0,8e-06,1.301790235562214e-10,1.2113699551224596e-05
171,node,5.0,1.0,2e-06,6.345155765312299e-11,7.468572572553069e-06
171,node,5.0,4.0,8e-06,2.5380623061249197e-10,3.8118023824002896e-06
171,node,10.0,1.0,2e-06,7.530665608878977e-11,7.466700893748972e-06
171,node,10.0,4.0,8e-06,3.0122662435515906e-10,5.328176814768343e-06
171,node,20.0,1.0,2e-06,1.2257509239360895e-10,4.2241495447294284e-06
171,node,20.0,4.0,8e-06,4.903003695744358e-10,3.078291338274473e-06
171,node,50.0,1.0,2e-06,1.5272461613082396e-10,3.4040511054021786e-06
171,node,50.0,4.0,8e-06,6.108984645232958e-10,1.9455359869403206e-06
171,node,,1.0,2e-06,2.0999242354842013e-10,2.4783268206475507e-06
171,node,,4.0,8e-06,8.399696941936805e-10,6.551346365038457e-07
200,node,0.0,1.0,2e-06,8.099425727336399e-11,6.8277008709473215e-06
200,node,0.0,4.0,8e-06,3.2397702909345596e-10,1.7055982828623098e-05
200,node,1.0,1.0,2e-06,6.190139024896411e-11,7.414459782820219e-06
200,node,1.0,4.0,8e-06,2.4760556099585645e-10,2.048523544942452e-05
200,node,2.0,1.0,2e-06,1.4197343602905689e-10,4.139449937532506e-06
200,node,2.0,4.0,8e-06,5.678937441162275e-10,1.1210932272371095e-05
200,node,5.0,1.0,2e-06,1.9272529544324925e-10,2.9637395223246556e-06
200,node,5.0,4.0,8e-06,7.70901181772997e-10,6.73726074382603e-06
200,node,10.0,1.0,2e-06,3.2691914607109597e-10,1.5868355602279372e-06
200,node,10.0,4.0,8e-06,1.3076765842843839e-09,4.459486633365409e-06
200,node,20.0,1.0,2e-06,2.6487053198960835e-10,1.6570789426605083e-06
200,node,20.0,4.0,8e-06,1.0594821279584334e-09,2.768870348553706e-06
200,node,50.0,1.0,2e-06,4.759619775973081e-10,8.904505188268643e-07
200,node,50.0,4.0,8e-06,1.9038479103892325e-09,1.5472468862849364e-06
200,node,,1.0,2e-06,6.436926102542105e-10,5.994574762829239e-07
200,node,,4.0,8e-06,2.574770441016842e-09,4.779426671064518e-07
1,anti,0.0,1.0,2e-06,2.112332923357964e-08,1.103210776142276e-05
1,anti,0.0,4.0,8e-06,8.449331693431856e-08,4.4131244110862886e-05
1,anti,1.0,1.0,2e-06,8.742034628562291e-09,5.0842393665663834e-05
1,anti,1.0,4.0,8e-06,3.4968138514249164e-08,0.0002033450574219986
1,anti,2.0,1.0,2e-06,5.315881565994249e-09,0.0001578724532816244
1,anti,2.0,4.0,8e-06,2.1263526263976996e-08,0.0006314375304045739
1,anti,5.0,1.0,2e-06,3.4768251275677117e-09,0.000225286796124222
