cfg,phase,model,L,mu,alpha,Ez,Delta,t0,E_low,E_gap,z2,subgap,near_edge,domain,width,center_left,center_right,E_pred,E_abserr,E_relerr,q_resolved,secular,K_relerr,K_corr,N0_ratio,N_err,q_root,q_energy,q_fft,q_diff_fft,q0_diff_fft,sumK,fd,fd_kink,fd_err,Kmaj_dev,p0,N0,eps2,Nex_xi0.0,Nex_xi1.0,Nex_xi2.0,Nex_xi5.0,Nex_xi10.0,Nex_xi20.0,Nex_xi50.0,Nex_xiinf,Nro_xi0.0,Nro_xi1.0,Nro_xi2.0,Nro_xi5.0,Nro_xi10.0,Nro_xi20.0,Nro_xi50.0,Nro_xiinf
1,node,kitaev,50,1.3747661712561219,,,0.17308249491406655,0.9448711486878784,2.33656945732719e-07,0.16648307193152784,-1,True,False,True,5.389110648089394,4.507868120267717,44.492131879732284,2.3365694021809323e-07,5.514625764321235e-15,2.3601377425473303e-08,True,2.004978820108928e-14,3.352540870464217e-13,0.9999999999999998,0.9999999999999669,2.057184693955619e-15,2.5871969137496826,2.5871969137496786,2.5872807997295078,8.38859798291125e-05,8.38859798251157e-05,0.08711636391645111,0.08711667711469379,True,3.1319824267406204e-07,2.5606640859069634e-15,0.6800000255956793,0.00022321354636348315,,0.00022321354636348315,0.0003544683168657289,0.0006059048973306609,0.0013573319944308387,0.0024048334103493026,0.003805624638423018,0.0055552403647556705,0.007589260862023545,0.00022321354636347578,0.0003544683168657264,0.0006059048973306625,0.0013573319944308452,0.002404833410349312,0.003805624638423027,0.005555240364755671,0.007589260862023529
1,anti,kitaev,50,1.4309191349316184,,,0.17308249491406655,0.9448711486878784,0.0031188844590902213,0.16787499099833383,-1,True,False,True,5.315002165958173,4.478323228956656,44.521676771043346,0.0031188842929823443,1.6610787701917817e-10,5.325874658006146e-08,True,5.908941835549574e-10,1.988849972471895e-08,1.0,1.0000000171421441,1.7142144165833707e-08,2.648983935785081,2.648983208067844,2.6488133925749255,0.00016981549291861242,0.00017054321015530505,4.997135437347284e-07,4.997342600496224e-07,False,2.071631489400025e-11,4.8954940391807524e-15,9.81268009460403e-11,5.0896110621039654e-05,-2.439115106419752,5.0896110621039654e-05,2.4711602241781622e-05,1.3237643477521276e-05,5.420830980563613e-06,2.730454355155242e-06,1.3722631507751753e-06,5.50689518048511e-07,2.497136257920962e-13,5.089611149350812e-05,2.4711602660542633e-05,1.3237643699145404e-05,5.420831067723851e-06,2.7304543970509774e-06,1.3722631714803171e-06,5.506895267278304e-07,2.496681285158607e-13
2,node,kitaev,53,1.3670776717984554,,,0.33671199520855233,0.8835731818463872,1.863104267685836e-09,0.3276457523038293,-1,True,False,True,2.524108566109092,1.7296848460918084,50.27031515390819,1.8631042815789637e-09,1.3893127458683946e-17,7.456977958587694e-09,True,5.486382277774693e-16,1.229154205547423e-11,1.0,1.0000000000018832,2.0470697560368044e-12,2.676168073463728,2.6761680734637285,2.6763129116191298,0.0001448381554012279,0.000144838155401672,-0.0006405364930345968,0.0006405338460913354,True,2.6469432613633603e-09,4.230240617564011e-13,0.6792450656617054,1.1396864727781654e-08,,1.1396864727781654e-08,1.8074762834500074e-08,3.0972191075987464e-08,6.969769829040684e-08,1.2437292191159039e-07,1.9917790677193306e-07,2.9532225581064807e-07,4.1028699890906e-07,1.1396864727803116e-08,1.8074762834533658e-08,3.097219107603976e-08,6.969769829051046e-08,1.2437292191177316e-07,1.9917790677225038e-07,2.9532225581118106e-07,4.102869989098999e-07
2,anti,kitaev,53,1.4164534989913602,,,0.33671199520855233,0.8835731818463872,2.014261887194788e-05,0.3297780357171638,-1,True,False,True,2.5252430985326564,1.727202219485435,50.272797780514594,2.0142615864269858e-05,3.0076780231950637e-12,1.4931911497286886e-07,True,6.574890980924508e-12,2.6658357440414676e-08,0.9999999999999996,1.000000018087146,1.808714611029651e-08,2.7344767311093467,2.734476731081429,2.734300988004828,0.00017574307660117583,0.000175743104518844,5.711018475828543e-08,5.7117178808217767e-08,False,6.994049932333568e-12,2.026898564073011e-12,1.868869136116558e-08,3.2928531939898033e-09,-0.02034893452635336,3.2928531939898033e-09,1.574761538733685e-09,8.409958567999922e-10,3.439349073134363e-10,1.7310908623328705e-10,8.695900959820476e-11,3.4889208872322873e-11,3.2615732031255427e-15,3.29285325354812e-09,1.5747615663928533e-09,8.409958711287069e-10,3.4393491264923195e-10,1.7310908861957787e-10,8.695901070483447e-11,3.4889209318117046e-11,3.261492854491738e-15
3,node,kitaev,55,2.2123701201032357,,,0.3162706273675605,1.2443830607557242,2.0016482576410573e-08,0.3143229692440717,-1,True,False,True,3.8699976139924965,2.999643903316959,51.00035609668309,2.0016485022151623e-08,2.445741050466204e-15,1.2218635522649272e-07,False,5.249791431366474e-15,6.412558277598977e-13,0.9999999999999997,0.9999999999998335,3.4397057463635595e-14,2.917191733936937,2.917191733936937,2.918903908226432,0.0017121742894952163,0.0017121742894952163,-0.01129853153839128,0.011298521534603447,True,1.0003787832835176e-08,1.128484414477394e-14,0.6787875311748747,3.4193807222729115e-06,,3.4193807222729115e-06,5.406250914740374e-06,9.290642575832212e-06,2.0978936239658576e-05,3.760359405673199e-05,6.067204362656718e-05,9.08710903217332e-05,0.0001276568149240224,3.419380722272342e-06,5.406250914740255e-06,9.290642575832412e-06,2.0978936239659375e-05,3.7603594056733505e-05,6.0672043626569565e-05,9.087109032173653e-05,0.0001276568149240268
3,anti,kitaev,55,2.2813425822321323,,,0.3162706273675605,1.2443830607557242,0.0004962584001841856,0.31516251743898743,-1,True,False,True,3.8686471719678943,2.9985563694646844,51.0014436305353,0.0004962583869300345,1.3254151031913408e-11,2.6708164591257597e-08,False,2.6927279781875233e-11,4.3019312156496275e-09,1.0,1.0000000042808375,4.2808374517297164e-09,2.973343967813416,2.973343964437259,2.9682069954634938,0.005136968973765033,0.005136972349922164,3.5127591785713563e-07,3.5128163941057494e-07,False,5.7215534393110404e-12,4.8080209186722223e-14,2.334648184946495e-09,9.60976174343031e-07,-0.2572354829430759,9.60976174343031e-07,4.4674857065074185e-07,2.3707506437976896e-07,9.655084317742867e-08,4.842728026329867e-08,2.4244608079493553e-08,9.704131293423743e-09,1.233947704664503e-13,9.609761784568137e-07,4.467485725523007e-07,2.370750653853009e-07,9.655084358293209e-08,4.842728046426018e-08,2.4244608179328555e-08,9.704131333422971e-09,1.2339414205771924e-13
4,node,kitaev,67,2.280995726174598,,,0.1952992771942833,1.1404965575711545,8.94088603687369e-08,0.19529927721173726,-1,True,False,True,5.793527955871902,4.88196841612853,61.11803158387147,8.940884931509085e-08,1.1053646051053614e-14,1.236303203672047e-07,False,3.2391821176983344e-14,1.1966178754273893e-13,1.0,1.0000000000000038,3.3287114181235e-15,3.141590355769834,3.141590355769834,3.1415925803754643,2.224605630374299e-06,2.224605630374299e-06,0.034242724686699914,0.034242708656820164,True,1.6029879749968057e-08,9.042742446111331e-15,0.507462685625532,3.4487182239555935e-05,,3.4487182239555935e-05,4.4915668794000336e-05,7.276092396956349e-05,0.00016221756391288162,0.00029552920051280953,0.0004943861821913389,0.000782226613267804,0.0011725641939691284,3.4487182239556064e-05,4.491566879400047e-05,7.276092396956362e-05,0.0001622175639128817,0.00029552920051280964,0.000494386182191339,0.0007822266132678055,0.0011725641939691323
4,anti,kitaev,67,2.3334773823297263,,,0.1952992771942833,1.1404965575711545,0.0011442144993877553,0.19531335881758363,-1,True,False,True,5.7761916875486214,4.876968452123408,61.12303154787665,0.0011442144882854827,1.1102272530136292e-11,9.702964379560722e-09,False,3.362484141038403e-11,7.709289255314671e-10,1.0,1.000000000677172,6.771721467300808e-10,3.0954001496204047,3.09540014380452,3.1415925803754643,0.046192436570944295,0.04619243075505963,-2.866082519169228e-06,-2.8660843446812186e-06,False,1.825511990497067e-12,2.1733626177277057e-14,1.5302061833129275e-08,8.01221556593251e-06,-1.0250362523248027,8.01221556593251e-06,3.7042832212160445e-06,1.9634268330128596e-06,7.99040753512042e-07,4.0053107599804244e-07,2.0039839415541148e-07,8.017795290576795e-08,8.214429006681652e-12,8.012215571358159e-06,3.7042832237214786e-06,1.9634268343401988e-06,7.990407540515411e-07,4.005310762679127e-07,2.0039839428999384e-07,8.017795295908704e-08,8.214427725648496e-12
5,node,kitaev,93,1.6656268007497166,,,0.2654337111805397,0.832814138519946,1.2454119166757637e-11,0.2654337111846451,-1,True,False,True,3.0578800311323855,2.2172395443018016,89.78276045569821,1.2454090293275363e-11,2.8873482273530437e-17,2.318388148284235e-06,False,1.5891912127797936e-16,5.773720019361636e-10,1.0,0.9999999999659392,3.406089630037201e-11,3.1415908579905083,3.1415908579905083,3.1415925672723715,1.709281863160328e-06,1.709281863160328e-06,-8.43605741488569e-06,8.436055304977466e-06,True,2.1099082242226385e-12,5.1464080289509775e-11,0.5053763429020024,1.5141928696591772e-12,,1.5141928696591772e-12,1.9765251638787904e-12,3.2173203804899308e-12,7.274258281229583e-12,1.3587016234003382e-11,2.392963801970997e-11,4.159816997938111e-11,7.116706470724786e-11,1.5141928696076026e-12,1.9765251638049185e-12,3.217320380360029e-12,7.274258280919168e-12,1.3587016233412825e-11,2.3929638018689784e-11,4.1598169977738574e-11,7.116706470482385e-11
5,anti,kitaev,93,1.6931002577810175,,,0.2654337111805397,0.832814138519946,1.4755244862098863e-07,0.2654041954769114,-1,True,False,True,3.0578594778533104,2.2172829071668136,89.78271709283321,1.4755245355515286e-07,4.9341642234934505e-15,3.344007008767179e-08,False,1.2898764275550601e-14,1.3521142520134295e-09,1.0,0.9999999997984972,2.0150282704467816e-10,3.1081771605684096,3.1081771605684088,3.1415925672723715,0.0334154067039627,0.033415406703961814,8.387801204540353e-10,8.402006034777127e-10,False,1.4204830236774062e-12,7.040474672388248e-11,2.008496077154505e-08,3.7665377232494215e-13,-0.0004818502536654458,3.7665377232494215e-13,1.7409811324377747e-13,9.227512802082172e-14,3.755180473872776e-14,1.8823364580000425e-14,9.418177248488154e-15,3.7685464031826884e-15,7.0355209046840825e-19,3.7665377224904535e-13,1.7409811320925525e-13,9.227512800289765e-14,3.755180473191059e-14,1.8823364576850055e-14,9.418177246819157e-15,3.768546401744798e-15,7.035500543915228e-19
