L,E_low,E_next,bulk_gap,E_low_over_gap,E_low_over_next,legacy_edge_localization,R_L,R_R,phs_residual_L,phs_residual_R
20.0,0.05456261091079792,0.198794934333751,0.05500626571169918,0.9919344679163178,0.27446680718329747,0.5130312847319498,3.743811888524409,3.743811888524394,2.4415963316660977e-16,2.606966772809612e-16
25.0,0.06360729437708812,0.14467256310178794,0.05500626571169918,1.1563645260063455,0.43966383821053645,0.45357189406611387,15.885900422203903,15.885900422204037,0.0,0.0
30.0,0.0533435243961045,0.1242487086149223,0.05500626571169918,0.9697717833762884,0.42932860221050156,0.4094399529752881,99.26748445271322,99.26748445271151,0.0,0.0
35.0,0.033335273105906255,0.12240579185373458,0.05500626571169918,0.606026834845039,0.27233411590310463,0.36159442755410054,17.447201628909685,17.447201628910097,0.0,0.0
40.0,0.014752496625557554,0.1251328886762021,0.05500626571169918,0.26819665786583063,0.11789463810534728,0.32947179542146526,12.694520445608275,12.694520445608294,0.0,0.0
45.0,0.00021309375888620247,0.12647279219848406,0.05500626571169918,0.00387399064686698,0.0016848980336559428,0.3119401970230522,14.612423654027456,14.612423654027285,2.4476972834588444e-16,2.2106837099687202e-16
50.0,0.009910098694147593,0.10529833947553643,0.05500626571169918,0.18016308807597955,0.0941144821799395,0.32591325164859564,24.483733861847966,24.483733861848542,0.0,0.0
55.0,0.015303535977309624,0.09123894662258751,0.05500626571169918,0.2782144139272982,0.16773030097128516,0.3686678527391394,57.93653060859667,57.93653060859672,2.275866132288109e-16,2.2352157688616454e-16
60.0,0.01586288370058659,0.08386142034175718,0.05500626571169918,0.28838321408196854,0.18915591503150314,0.36643676259238495,372.83010076857653,372.830100768638,2.29945002696548e-16,2.2743799878791647e-16
65.0,0.01265183469942087,0.08179504925093295,0.05500626571169918,0.2300071552890378,0.15467726733200254,0.35694815287021975,315.31763605485736,315.3176360548453,2.216120910024654e-16,2.308629749492999e-16
70.0,0.007670124928628624,0.08288104838860356,0.05500626571169918,0.13944093149005168,0.09254377300665628,0.42560472245680986,105.29782681324899,105.29782681324909,0.0,0.0
75.0,0.002611104324438585,0.08536674950896547,0.05500626571169918,0.0474692162911767,0.030586901099758507,0.4184396574422707,88.38097027987176,88.38097027987133,2.29590908587251e-16,2.2453970386092257e-16
80.0,0.001513845526415902,0.08276054395667354,0.05500626571169918,0.027521328830979432,0.018291875017259724,0.4156394239684864,121.5894182866466,121.58941828665587,2.266513815092353e-16,2.3646054174238026e-16
85.0,0.004177401108881566,0.07602531901304227,0.05500626571169918,0.07594409572859047,0.054947498584845475,0.4166155391259275,256.175474494645,256.17547449465394,2.2564527774131373e-16,2.2706673907547267e-16
90.0,0.0052213437296006575,0.07190497467596457,0.05500626571169918,0.09492270856863748,0.0726144992489091,0.4728515892440884,748.2660287761108,748.2660287761848,2.237826639787627e-16,2.2245014865135927e-16
95.0,0.004849304864996596,0.07004984654282881,0.05500626571169918,0.08815913609574856,0.0692264880556406,0.5165620698836736,2484.2260584423293,2484.2260584422,0.0,0.0
100.0,0.0035397771246044834,0.06990490734498614,0.05500626571169918,0.06435225294436984,0.05063703335068322,0.5133906350370165,989.4853009823164,989.4853009822542,0.0,0.0
105.0,0.001848950957479506,0.07086995826450523,0.05500626571169918,0.033613460822268765,0.026089347344875485,0.5104377361040583,637.5039187185511,637.503918718469,0.0,0.0
110.0,0.000244318751648268,0.07242302534565459,0.05500626571169918,0.004441653118733786,0.0033734955213787846,0.5121304334707961,685.5013602544565,685.5013602545945,2.19126905215285e-16,2.3020348318522474e-16
115.0,0.0009639614596202647,0.0691437410904461,0.05500626571169918,0.017524575557857615,0.013941413126016978,0.569814589398543,941.9858516358178,941.9858516357423,0.0,0.0
120.0,0.001632265812880712,0.06646666060896629,0.05500626571169918,0.029674179691379202,0.024557662411890762,0.5702738787918424,2270.603462910918,2270.6034629111596,0.0,0.0
