disorder_strength,mean_splitting,std_splitting,mean_E_low_over_gap,mean_E_low_over_next,mean_R_L,mean_R_R,min_R_L,min_R_R,support_fraction,support_ci_low,support_ci_high
0.0,0.0015138455264159017,2.168404344971009e-19,0.02752132883097943,0.01829187501725973,121.58941828664662,121.58941828665591,121.5894182866466,121.58941828665587,1.0,0.9630065017930143,1.0
0.05,0.00161218912461239,0.0010393611433207608,0.029309190575892825,0.01971669691288177,126.25528317331634,125.34138433645929,76.2275591577816,65.31131402517632,1.0,0.9630065017930143,1.0
0.1,0.0027252329205332193,0.0020534916411533853,0.04954404530598039,0.03419227136675419,133.18797953378683,149.1867726199388,48.14666470622904,53.31564478301189,1.0,0.9630065017930143,1.0
0.2,0.004130218351905084,0.003101406119954233,0.07508632513889477,0.054588299043456766,193.9084714152913,251.94096711515834,18.804653472642617,19.956748686452173,1.0,0.9630065017930143,1.0
0.3,0.006004158885568433,0.003426554411986262,0.10915409013652462,0.08772378045581085,429.5382555364456,463.091766644554,1.8679015779324477,4.077038773751839,0.97,0.9154806357094724,0.9897454759759611
0.4,0.006663136017649597,0.0048187183380410835,0.12113412774778543,0.10647736270364314,542.5281454015927,904.9668251475366,3.2707456488851725,4.257896732344548,0.89,0.8136870349691969,0.9374580364293543
0.5,0.007833516338748537,0.00614282723275942,0.14241134600566857,0.12842416861811207,2288.670378863647,554.5917064683009,1.297203340727675,0.0897785070928427,0.77,0.6784561697712622,0.8415673411969654
