eps_M,gamma_qp,infidelity,in_operating_band
6.851132386657766e-05,0.0,0.011552917610884172,False
6.851132386657766e-05,0.02,0.014042751581332502,False
6.851132386657766e-05,0.05,0.016693941689500114,False
6.851132386657766e-05,0.1,0.020869742790928347,False
6.851132386657766e-05,0.2,0.028757407247970823,False
0.000338487837151064,0.0,0.011552822696458742,True
0.000338487837151064,0.02,0.014042744116240735,True
0.000338487837151064,0.05,0.01669394544750491,True
0.000338487837151064,0.1,0.0208697484657846,True
0.000338487837151064,0.2,0.028757410988529686,True
0.0016723369135638443,0.0,0.01155235369904084,True
0.0016723369135638443,0.02,0.013994422459036704,True
0.0016723369135638443,0.05,0.016693964218479573,True
0.0016723369135638443,0.1,0.02086929628640599,True
0.0016723369135638443,0.2,0.02875744483805709,True
0.008262367049898158,0.0,0.011550032246880781,True
0.008262367049898158,0.02,0.013994121398819503,True
0.008262367049898158,0.05,0.0166940680520814,True
0.008262367049898158,0.1,0.02086949911192537,True
0.008262367049898158,0.2,0.028757519668477727,True
0.04082114597456471,0.0,0.011538471151975815,False
0.04082114597456471,0.02,0.013992623518539249,False
0.04082114597456471,0.05,0.01669012164652639,False
0.04082114597456471,0.1,0.02086900438883743,False
0.04082114597456471,0.2,0.028757404705872402,False
